year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
1996,18.681185640036,79.2295601199241,23.2400035043381,55.989556615586,3168221,371135631.409224,690724498.341023,894135813.833637,1843297875.89377,ARM,Upper middle income
1997,13.960764121791,78.5477450545048,20.2732693887542,58.2744756657506,3133089,332378715.799676,643201844.608781,955405613.878244,2062857049.25158,ARM,Upper middle income
1998,8.6724863238516,71.8424518815414,19.0030199716737,52.8394319098677,3108687,359865213.08226,642750927.029063,1000634291.3776,1956026325.61693,ARM,Upper middle income
1999,0.648245760470397,70.5604791440404,20.7582469526567,49.8022321913836,3089022,383089748.692254,728513433.240239,919091321.055349,1922756811.39087,ARM,Upper middle income
2000,-0.790883768934766,73.9185192676351,23.3752591172072,50.5432601504278,3069591,446832959.975311,865178780.420164,966166596.339152,2057797003.98743,ARM,Upper middle income
2001,3.14590464685019,71.6171966314838,25.4683994105505,46.1487972209334,3050687,539539869.563651,1101052795.38332,977647461.53569,2199127349.96548,ARM,Upper middle income
2002,1.06004929341667,75.9434489538388,29.3565730576275,46.5868758962113,3033978,697610534.577483,1480030448.07267,1107060259.87617,2600444404.2104,ARM,Upper middle income
2003,4.72155336605342,82.1876711722522,32.152669630067,50.0350015421852,3017932,902545052.438793,1932260184.51065,1404513018.98854,3313186299.80177,ARM,Upper middle income
2004,6.96126135875792,75.0372101843166,29.7348131660371,45.3023970182795,3000720,1063499859.40575,1883866208.70103,1620292436.02962,3204883974.68758,ARM,Upper middle income
2005,0.638928002410126,72.0389566828983,28.809242612927,43.2297140699714,2981269,1411788277.09511,2190703815.3585,2118459147.50892,3658593816.25619,ARM,Upper middle income
2010,8.17636138473956,66.1473098093357,20.830109172506,45.3172006368297,2877319,1928927462.22841,1928927462.22841,4196501904.80396,4196501904.80396,ARM,Upper middle income
2007,4.40736089644519,58.3364456815795,19.1856344208336,39.1508112607459,2932618,1766287387.91701,1958711760.82819,3604341802.81695,4289499574.18325,ARM,Upper middle income
2008,8.94995335353386,55.7028649181459,15.0471063000578,40.6557586180882,2907618,1754799662.97283,1702512547.33145,4741291122.57631,4601694176.49079,ARM,Upper middle income
2009,3.40676682683799,58.4788698681044,15.4744750451275,43.0043948229768,2888092,1338222813.98567,1524844205.45858,3718992863.14565,3720302973.40854,ARM,Upper middle income
2011,7.6500080785929,71.1108704159213,23.756853460251,47.3540169556703,2876538,2409446527.51175,2216304411.51627,4802697121.00024,4099983711.8896,ARM,Upper middle income
2012,2.55802007757907,75.9667433930304,27.5667218763657,48.4000215166647,2884229,2927398422.95477,2418776615.46047,5139753188.43898,3987953329.61664,ARM,Upper middle income
2001,152.561022469299,150.335794690093,75.38894373114,74.946850958953,16945753,6736804052.06298,10734934797.6174,6697298360.22468,10941978660.9548,AGO,Lower middle income
2008,12.4758291326398,121.36470790564,72.475028472181,48.8896794334592,21695634,64168383679.8013,54267982103.7365,43286243193.0314,40620484227.3826,AGO,Lower middle income
2009,13.7302839288409,122.446142344145,58.7573030189496,63.6888393251959,22514281,41310593206.4512,52829598987.6446,44777816509.1355,40427766592.5416,AGO,Lower middle income
2010,14.4696564932574,104.123629959119,61.5431127231538,42.5805172359653,23356246,51572818660.8665,51572818660.8665,35682259098.1843,35682259098.1843,AGO,Lower middle income
2011,13.4824679218511,99.9825078537909,60.6699484390186,39.3125594147723,24220661,67822745138.1171,48930175170.3406,43947386910.9212,39589481387.0111,AGO,Lower middle income
2012,10.2779049218839,91.8000986064676,55.9401314050624,35.8599672014052,25107931,71632934595.8855,51474477980.8502,45919711316.8811,39554065387.2082,AGO,Lower middle income
2013,8.77781429332619,86.8119307833605,50.7470843910637,36.0648463922967,26015780,69376269461.8533,50870218693.552,49304202033.1896,41285999311.6733,AGO,Lower middle income
2014,7.28038730361125,79.3329275092697,44.6950312503076,34.6378962589621,26941779,65126113465.185,51228666700.4102,50471640780.8965,39156268358.9078,AGO,Lower middle income
2002,108.897436089429,105.301742600149,57.0849959046266,48.2167466955221,17519417,8725781181.80022,26838176775.6342,7370216539.32213,22834202903.1205,AGO,Lower middle income
2003,98.2241436573304,103.901226814948,54.3213373807344,49.5798894342136,18121479,9676099739.56623,26489280477.551,8831519590.16866,25046837164.4329,AGO,Lower middle income
2004,43.5421067519687,103.579924362095,58.3803455316586,45.1995788304369,18758145,13749769575.3243,29956727293.4402,10645428494.1358,26832676652.9623,AGO,Lower middle income
2005,22.9535138513941,106.590962129525,65.5262677696291,41.0646943598961,19433602,24225663183.7639,36825804856.7324,15181994765.8936,30039181511.7636,AGO,Lower middle income
2006,13.3052101780031,94.6251593320477,63.4678635039226,31.1572958281252,20149901,33245105956.2189,42088212372.4559,16320505275.1029,31946669537.0915,AGO,Lower middle income
2007,12.2514974459487,108.060067893978,67.9057833724671,40.1542845215112,20905363,44319695565.281,49058020342.9569,26207276865.8555,34374616423.8749,AGO,Lower middle income
1994,949.792531120332,,,,13503747,,,,,AGO,Lower middle income
1995,2666.45059288538,,,,13945206,,,,,AGO,Lower middle income
1996,4145.10598220638,,,,14400719,,,,,AGO,Lower middle income
1997,219.176721172974,,,,14871570,,,,,AGO,Lower middle income
1998,107.284821528298,,,,15359601,,,,,AGO,Lower middle income
1999,248.195902412868,,,,15866869,,,,,AGO,Lower middle income
2000,324.996871601321,152.547109454858,89.6858311851382,62.8612782697202,16395473,8187952996.90344,5939008186.97054,5738980003.82281,4267996118.3158,AGO,Lower middle income
1960,,,,,5454933,,,,,AGO,Lower middle income
1961,,,,,5531472,,,,,AGO,Lower middle income
1962,,,,,5608539,,,,,AGO,Lower middle income
1963,,,,,5679458,,,,,AGO,Lower middle income
1964,,,,,5735044,,,,,AGO,Lower middle income
1965,,,,,5770570,,,,,AGO,Lower middle income
1966,,,,,5781214,,,,,AGO,Lower middle income
1967,,,,,5774243,,,,,AGO,Lower middle income
1968,,,,,5771652,,,,,AGO,Lower middle income
1969,,,,,5803254,,,,,AGO,Lower middle income
1970,,,,,5890365,,,,,AGO,Lower middle income
1971,,,,,6040777,,,,,AGO,Lower middle income
1972,,,,,6248552,,,,,AGO,Lower middle income
1973,,,,,6496962,,,,,AGO,Lower middle income
2015,10.278046066107,62.8885207850511,29.7545994933756,33.1339212916755,27884381,34572954933.6294,43703522520.3665,38499512246.7219,29793878813.0036,AGO,Lower middle income
2016,32.3777340696378,53.3701552785467,28.124484560559,25.2456707179877,28842484,28440561886.9778,35664030276.7223,25529394463.6446,22423200602.9091,AGO,Lower middle income
2017,31.6916861406481,52.256821448818,29.0041000519815,23.2527213968366,29816748,35420915616.9387,44417294584.0136,28397112166.3975,24942021221.6459,AGO,Lower middle income
2018,20.1903737898382,,,,30809762,,,,,AGO,Lower middle income
2019,,,,,,,,,,AGO,Lower middle income
1979,,,,,8058067,,,,,AGO,Lower middle income
1980,,,,,8341289,,,,,AGO,Lower middle income
1981,,,,,8640446,,,,,AGO,Lower middle income
1982,,,,,8952950,,,,,AGO,Lower middle income
1983,,,,,9278096,,,,,AGO,Lower middle income
1984,,,,,9614754,,,,,AGO,Lower middle income
1985,,,,,9961997,,,,,AGO,Lower middle income
1986,,,,,10320111,,,,,AGO,Lower middle income
1987,,,,,10689250,,,,,AGO,Lower middle income
1988,,,,,11068050,,,,,AGO,Lower middle income
1989,,,,,11454777,,,,,AGO,Lower middle income
1990,,,,,11848386,,,,,AGO,Lower middle income
1991,83.7837837837838,,,,12248901,,,,,AGO,Lower middle income
1992,299.509803921569,,,,12657366,,,,,AGO,Lower middle income
1993,1378.52760736196,,,,13075049,,,,,AGO,Lower middle income
1975,,,,,7024000,,,,,AGO,Lower middle income
1976,,,,,7279509,,,,,AGO,Lower middle income
1977,,,,,7533735,,,,,AGO,Lower middle income
1974,,,,,6761380,,,,,AGO,Lower middle income
1978,,,,,7790707,,,,,AGO,Lower middle income
1975,,11.8027242947756,5.82405179865594,5.97867249611964,25865776,3054054017.48759,9422218768.12232,3135135020.645,7833640163.907,ARG,High income
1976,,15.0968846246649,9.17538829665278,5.92149632801213,26264681,4695000304.43367,12391881319.1621,3030000057.09425,6187706807.56162,ARG,High income
1977,,16.9422865680472,9.6158924127723,7.32639415527493,26661398,5459999880.60299,15777067196.4903,4159999872.70227,8484999503.82012,ARG,High income
1979,,12.8406846410014,6.51091546668746,6.32976917431398,27471036,4508960596.86682,16632451280.302,4383512570.58549,12436956495.9695,ARG,High income
1980,,11.5456724604615,5.06197268096631,6.48369977949523,27896528,3895791554.56352,15777067196.4903,4989980079.95196,18202260569.9519,ARG,High income
1981,,14.2929774789475,6.9210494803617,7.37192799858578,28338515,5445263189.7662,16598091023.4178,5800000170.81341,16702590109.716,ARG,High income
1978,,14.3237963724531,8.6083899381245,5.71540643432856,27061047,4999999950.3057,17182373156.6199,3319672098.15378,8044890183.11161,ARG,High income
1987,,15.448969882952,7.87320581340031,7.57576406955165,31184415,8747619117.06127,17253143384.2704,8417142923.96163,10680581859.9004,ARG,High income
1988,,15.743458608705,9.53161297293404,6.21184563577101,31668949,12029545360.5898,20482856879.7496,7839772666.04089,9697109057.22425,ARG,High income
1989,,19.6377977018838,13.0584089085641,6.57938879331971,32148134,10007559520.4417,22004799453.271,5042239480.95944,8095467813.28796,ARG,High income
1990,,14.9908589999441,10.3595365925264,4.63132240741775,32618651,14643450361.4013,25968216627.4092,6546483925.69926,7941660645.75833,ARG,High income
1991,,13.7530541588892,7.67504334832217,6.07801081056698,33079000,14561091033.0362,25027090969.096,11531201153.6445,14299412591.6987,ARG,High income
1992,,14.730980586353,6.5981874720374,8.13279311431564,33529326,15095901877.6499,24769388405.0964,18606904906.1175,23691833236.8629,ARG,High income
1993,,16.2231514477839,6.90935153370832,9.31379991407563,33970111,16357317317.3173,25756002356.8724,22049649649.6496,27199790380.1909,ARG,High income
1994,,18.1343458669981,7.52994872591672,10.6043971410814,34402672,19385100000,29695529464.3183,27299960000,32947387156.501,ARG,High income
1982,,15.6114860999886,9.09049307859512,6.52099302139343,28794548,7663966255.62989,17253143384.2704,5497685333.13496,9590631801.05711,ARG,High income
1983,,14.9876701068591,9.15152068682071,5.83614942003836,29262047,9515669466.75192,17698724074.2877,6068376037.18012,8926602759.87281,ARG,High income
1984,,12.3463814292217,7.5898953117888,4.75648611743286,29737093,6003000151.64854,17240062034.4558,3762000095.03612,9346609362.0138,ARG,High income
1985,,18.009425070688,11.7360980207352,6.27332704995288,30216279,10376666928.8033,19921585394.4031,5546666806.78726,8128005008.90699,ARG,High income
1986,,14.4860327921395,8.16197754429543,6.32405524784407,30698964,9054444307.18032,17875570604.5354,7015555449.2007,9580271601.00617,ARG,High income
1960,,15.2080960873797,7.60404910825644,7.60404697912324,20481779,,5743773673.33283,,6275715028.61355,ARG,High income
1961,,11.9898923109727,5.9949469947787,5.99494531619397,20817266,,5132717042.19282,,7416445024.92171,ARG,High income
1962,,14.0755256495637,4.69184275899831,9.38368289056535,21153052,1147183934.48134,7454679354.06375,2294367226.53985,7416445024.92171,ARG,High income
1963,,15.7809062353749,7.89045420262462,7.89045203275027,21488912,1441753549.59206,7454679354.06375,1441753153.10994,5704477582.9356,ARG,High income
1964,,11.1274296795488,5.56371560478508,5.56371407476368,21824425,1424603255.4971,6843644533.91513,1424602863.7313,6846080048.03179,ARG,High income
1965,,10.3764574099485,6.22587443766796,4.15058297228058,22159650,1764705803.20912,7454679354.06375,1176470539.39431,6846080048.03179,ARG,High income
1966,,11.6426054171411,6.65291738359955,4.98968803354159,22494035,1904761830.17968,8676757095.58632,1428571371.44429,6275723236.58213,ARG,High income
1967,,12.492660372918,7.4955962262493,4.99706414666865,22828869,1818181857.73576,8676757095.58632,1212121237.48041,6275723236.58213,ARG,High income
1968,,11.8881648852942,6.48445346277515,5.40371142251908,23168267,1714285705.23432,8065726326.05042,1428571474.83812,6846080048.03179,ARG,High income
1969,,12.7974266330598,6.3987133165299,6.3987133165299,23517611,2000000041.3448,9776634032.08768,2000000041.3448,8557161752.38939,ARG,High income
1970,,10.3374440809233,5.601566676004,4.73587740491927,23880561,1769210602.71535,9893963819.55855,1495789482.224,6944666554.43537,ARG,High income
1971,,12.6151889155439,6.00723288128889,6.60795603425504,24259561,2000000003.29714,8911399792.97521,2199999958.62685,7772035361.80539,ARG,High income
1972,,14.0356431972715,7.19776583908352,6.837877358188,24653175,2500000047.48951,9092264323.28585,2374999979.49003,7393555509.63267,ARG,High income
1973,,13.3221685115576,7.61266772119213,5.70950079036544,25056478,4000000136.32269,10363234673.6754,3000000101.96424,7296734141.76416,ARG,High income
1974,,13.1915798576321,6.9025707976099,6.28900906002225,25462302,4999999839.57003,10387664801.6236,4555555489.85516,7692822595.78282,ARG,High income
2014,,28.4067936452275,14.4054785893756,14.0013150558519,42669500,75818867911.0825,71890933183.0461,73691675720.0984,72631250477.273,ARG,High income
2015,,22.4862260889792,10.7056520504538,11.7805740385254,43131966,63671789068.8987,69894253858.4586,70064879911.7042,76053140241.0912,ARG,High income
2016,,26.0938878488799,12.5270951690009,13.5667926798789,43590368,69842486095.8653,73610778836.9358,75639125936.7673,80482599119.1733,ARG,High income
2017,,25.2233319634767,11.2427213207093,13.9806106427674,44044811,72256505014.2791,74874747888.2482,89852806468.7521,92841666988.2535,ARG,High income
2018,,30.7004460241825,14.2805176122688,16.4199284119137,44494502,74240343947.3216,74382464868.6945,85362531386.3677,88447333124.5728,ARG,High income
2019,,,,,,,,,,ARG,High income
2006,,40.4334798719151,23.0266946038115,17.4067852681036,39289878,53550250227.3909,71292328739.2415,40480743015.8524,45332285481.5857,ARG,High income
2007,,40.945170618571,22.6627503115066,18.2824203070644,39684295,65162321195.025,77112956639.8029,52567536062.3157,54235675229.3107,ARG,High income
1995,,19.7714230903755,9.68041025959015,10.0910128307854,34828170,24978532000,36385381307.3708,26038017000,29716358765.2826,ARG,High income
1996,,21.5064684057215,10.4285967560139,11.0778716497076,35246374,28381400000,39167696785.6267,30148400000,34925366306.9393,ARG,High income
1997,,23.3361788437439,10.5608501019262,12.7753287418177,35657429,30928400000,43937319883.7772,37413700000,44310354661.9124,ARG,High income
1998,,23.3500279730689,10.4155819610919,12.934446011977,36063459,31137200000,48604954076.4381,38667300000,48038596282.0621,ARG,High income
1999,,21.3827449624898,9.82717451494235,11.5555704475475,36467218,27862300000,47992396563.0453,32762700000,42626198507.0667,ARG,High income
2000,,22.6224447777343,10.9863752325576,11.6360695451767,36870787,31223690400,49289338916.5561,33070146000,42559032988.0605,ARG,High income
2001,,21.8522554515453,11.5790080825317,10.2732473690136,37275652,31112418400,50640355142.009,27603881800,36623502524.091,ARG,High income
2002,,41.7527243585642,28.3825969991682,13.370127359396,37681749,27736610298.2555,52206638632.5193,13065823829.1753,18289940526.9557,ARG,High income
2003,,40.6447480311085,25.9309429264225,14.7138051046861,38087868,33084505277.8061,55336618844.529,18772898618.6064,25160624642.2197,ARG,High income
2004,,40.692646108947,23.8476194239892,16.8450266849578,38491972,39266996605.7973,59826719523.6325,27736672323.6712,35255515116.4463,ARG,High income
2005,,40.5512709706238,23.2458767338576,17.3053942367663,38892931,46198180131.0044,67536487416.1127,34392237786.5721,40842890904.523,ARG,High income
2010,,34.9710132635696,18.9338234053709,16.0371898581987,40788453,80208867995.7171,80208867995.7171,67937933972.3653,67937933972.3653,ARG,High income
2011,,35.2061549999644,18.4492091453155,16.7569458546489,41261490,97810932629.3764,83536585369.3008,88839174034.695,82903720962.9075,ARG,High income
2008,,40.4026733790382,22.0609003826242,18.341772996414,40080160,79762958392.3012,77683495718.0705,66316154417.0834,61591218916.5476,ARG,High income
2009,,34.0571269054879,19.5609850560818,14.4961418494061,40482788,65133480388.4946,70422336693.7513,48268743529.5373,50248309418.1331,ARG,High income
2012,,30.5265423717108,16.2378594620246,14.2886829096862,41733271,88655850853.7721,80104642370.9845,78013690406.706,78983814819.8065,ARG,High income
2013,,29.3339290021037,14.6171733884386,14.7167556136651,42202935,80690471898.442,77284766433.7049,81240190816.9153,82050662341.2375,ARG,High income
2001,,,,,58494,,,,,ASM,Upper middle income
2002,,209.533073929961,100.778210116732,108.75486381323,59080,5.18e+08,679031390.134529,5.59e+08,848981781.376518,ASM,Upper middle income
2009,,160.176991150442,78.1710914454277,82.0058997050148,56683,5.3e+08,432556053.811659,5.56e+08,604396761.133603,ASM,Upper middle income
2010,,156.423611111111,63.1944444444444,93.2291666666667,56079,3.64e+08,3.64e+08,5.37e+08,5.37e+08,ASM,Upper middle income
2011,,155.749128919861,58.3623693379791,97.3867595818815,55759,3.35e+08,321560538.116592,5.59e+08,500040485.82996,ASM,Upper middle income
2012,,174.689440993789,74.8447204968944,99.8447204968944,55667,4.82e+08,336251121.076233,6.43e+08,520694331.983806,ASM,Upper middle income
2013,,171.294851794072,71.2948517940718,100,55713,4.57e+08,334618834.080718,6.41e+08,5.37e+08,ASM,Upper middle income
